X,Y,fname,apparent_displacement,vertical_displacement
569411.9398907328,7496665.419991013,Fault_6825,192,80
581824.4303949791,7486696.038785979,Fault_6825,-5335,1101
592083.4591697413,7482498.929891236,Fault_6825,-167,40
594275.0293769896,7480984.928865958,Fault_6825,-102,32
594654.9007737576,7480477.430249967,Fault_6825,-122,41
595925.270391873,7479820.44768331,Fault_6825,-283,58
580338.0204285177,7480681.440838736,Fault_2996,7468,2138
572597.9397610865,7483491.224590577,Fault_2840,0,0
585401.0209271868,7484575.990167913,Fault_15540,315,90
520941.17862752225,7483098.931340786,Fault_10762,247,103
519428.3790141897,7484590.40797662,Fault_10762,280,124
578487.3788966227,7482153.509974113,Fault_8551,-459,115
577869.8618258708,7482551.0294505805,Fault_8551,-2574,477
519197.2705781968,7486806.42248787,Fault_7099,269,127
520303.7161247159,7485450.934683209,Fault_7099,0,0
501046.9381890299,7489361.700175557,Fault_5997,-549,106
501444.3413854349,7488982.699627759,Fault_5997,-814,156
502021.7381451292,7488408.211670204,Fault_5997,-880,185
502590.8690024793,7487736.701994303,Fault_5997,-613,116
503261.2619480325,7486956.708128579,Fault_5997,-418,80
503261.2619480325,7486956.708128579,Fault_5997,-1994,382
503261.2619480325,7486956.708128579,Fault_5997,-3513,665
503963.9511164152,7486284.210780179,Fault_5997,554,95
503963.9511164152,7486284.210780179,Fault_5997,-1024,170
503963.9511164152,7486284.210780179,Fault_5997,-2550,414
504621.5614647837,7485498.229755778,Fault_5997,1575,258
504621.5614647837,7485498.229755778,Fault_5997,0,0
504621.5614647837,7485498.229755778,Fault_5997,-1529,233
542727.2942475824,7490582.411660602,Fault_5993,0,0
542565.7141811225,7490765.152392894,Fault_5993,0,0
542391.5011863221,7491085.149292344,Fault_5993,0,0
564668.2824064159,7495390.176545881,Fault_12642,0,0
566244.7776080449,7494876.340518158,Fault_12642,0,0
506356.6006724424,7486602.24845382,Fault_6205,2878,602
505880.64999487484,7487247.250308281,Fault_6205,2731,535
505880.64999487484,7487247.250308281,Fault_6205,1569,317
505191.6905310505,7488202.74096686,Fault_6205,3908,872
505191.6905310505,7488202.74096686,Fault_6205,2747,619
504410.5992922888,7489048.739995965,Fault_6205,5048,1198
504410.5992922888,7489048.739995965,Fault_6205,3892,934
504112.2103111877,7489370.738581943,Fault_6205,2896,713
503751.9305946626,7489830.728219492,Fault_6205,2608,622
503311.331279912,7490794.23871238,Fault_6205,2849,636
