X,Y,formation,thickness,cl,cm,meanl,meanm,meann,p1x,p1y,p2x,p2y,dip
565916.0271444154,7455390.035013743,A_FO_od,279,0.7543765485924148,-0.6564419417844933,0.10401566068446723,-0.0618733128468094,0.9733514801579255,567557.1319988767,7457275.976385224,564274.9222899541,7453504.093642262,13.25694226614992
565701.2446899387,7455606.821773341,A_FO_od,280,0.7013168904682916,-0.7128496469409846,0.13296247673426717,-0.09959588158963731,0.97320596806831,567483.3688072911,7457360.113999512,563919.1205725863,7453853.52954717,13.293250012817595
565156.40962239,7456094.838945108,A_FO_od,256,0.6888659261410741,-0.7248887747798279,0.13895337806041197,-0.11295372068728733,0.9730119519488222,566968.6315593396,7457817.00376046,563344.1876854405,7454372.674129755,13.341509401133948
564785.9442949464,7456386.355964859,A_FO_od,187,0.8736422177734245,-0.4865688803488487,0.1553243830853414,-0.1038333179436541,0.9732588815554428,566002.3664958185,7458570.461509293,563569.5220940743,7454202.250420425,13.280058474865456
564170.4346527886,7456676.07985474,A_FO_od,173,0.91080349658939,-0.4128401513909963,0.18893527338923677,-0.1283722785477059,0.9728030115124511,565202.535031266,7458953.088596214,563138.3342743111,7454399.071113266,13.393290096992828
563437.9552537345,7457097.035711585,A_FO_od,166,0.8852689519899898,-0.4650794369164746,0.19438670605114503,-0.12076207705852911,0.9726724237397191,564600.6538460257,7459310.20809156,562275.2566614433,7454883.863331609,13.425553463061817
584325.7363582684,7456054.510083993,A_FO_od,274,-0.24238509632195346,-0.9701801199163986,0.0027437622951734333,0.10917221407882416,0.9866947159078838,586751.1866580594,7455448.547343188,581900.2860584775,7456660.472824798,9.3569092941285
585400.1603968616,7456192.530843393,A_FO_od,375,0.261004538693522,-0.9653375734847276,-0.0016809522664578028,0.09776463250718367,0.9881612397254922,587813.5043305735,7456845.042190127,582986.8164631497,7455540.019496659,8.825110166435678
585371.0888546464,7456278.284954871,A_FO_od,376,0.32540109506842857,-0.9455760822526486,-0.007118966887280383,0.10259258471557735,0.9881139498124568,587735.0290602781,7457091.787692542,583007.1486490148,7455464.7822172,8.8427535455358
585214.2697866752,7457392.806571498,A_FO_od,370,0.2629080138331712,-0.9648209037237414,-0.031715150803396146,0.1075966832515548,0.9879708572191875,587626.3220459846,7458050.076606081,582802.2175273659,7456735.536536914,8.895928478868825
583705.4606152672,7459733.836430007,A_FO_od,433,0.3371370692384882,-0.9414555733253072,-0.03229240202414388,0.14467563960003346,0.9841777179149293,586059.0995485805,7460576.679103103,581351.8216819539,7458890.993756911,10.205786704182572
583474.8988326199,7462058.38659169,A_FO_od,362,-0.050633381023358015,-0.9987173077133206,-0.037581944622774116,0.168013921524319,0.9815470150687851,585971.6921019031,7461931.8031391315,580978.1055633366,7462184.970044248,11.02404685588506
583670.3744696493,7463049.905062837,A_FO_od,250,-0.30923774487053146,-0.9509847617850604,-0.018560088649770597,0.16980903299449024,0.981024678209353,586047.8363741119,7462276.810700661,581292.9125651866,7463822.999425013,11.179473386646336
583808.0203652753,7463905.430378443,A_FO_od,254,0.11422014272592253,-0.9934554640222528,0.02087111492760521,0.16091854328645794,0.979966141764797,586291.6590253309,7464190.980735257,581324.3817052197,7463619.880021628,11.488085408861437
583594.8194285628,7464539.935177453,A_FO_od,213,0.3870018465816475,-0.9220789395395576,0.03520219460650928,0.16920458591254572,0.9787652490269111,585900.0167774117,7465507.439793907,581289.6220797139,7463572.430560999,11.828583421583048
