X,Y,l,m,n,dip,dip_dir
493841.6918008325,7494944.217481465,-0.2198866740041737,-0.4094796776084491,0.8854243300367699,27.69621519505445,208.23537350947478
493841.6918008325,7495258.791067652,-0.37900923075453563,-0.2837365341674551,0.8808209705618366,28.258444279140726,233.18048338474233
493841.6918008325,7495573.36465384,-0.47919545481244813,-0.049863774563225396,0.8762906595835647,28.80190528282462,264.0593372591783
493841.6918008325,7495887.938240027,-0.47224497286698647,0.12956526944145472,0.8718930705977783,29.320622695053572,285.3421701668026
493841.6918008325,7496202.511826214,-0.44825057629023835,0.21487778184670744,0.8676975047354395,29.807832815465666,295.6116514640963
493841.6918008325,7496517.085412402,-0.43978122217234916,0.24590610419758346,0.863783922368877,30.25586616121621,299.2119796962619
493841.6918008325,7496831.658998589,-0.44849665324297067,0.24255100622475315,0.8602440127133779,30.65600832843291,298.4049196387879
493841.6918008325,7497146.232584776,-0.471642967134751,0.2068610252223619,0.857182260546893,30.99833574112612,293.6820953376696
493841.6918008325,7497460.806170964,-0.5029772068777418,0.12834675407319365,0.8547169356461474,31.271522887760995,284.3149174015266
493841.6918008325,7497775.379757151,-0.5218160868328369,-0.011471569827773115,0.8529808758748063,31.46261859406946,268.7406162867369
493841.6918008325,7498089.953343338,-0.48053809847656287,-0.2072956665371208,0.8521218472422005,31.556791332459916,246.66548402980257
493841.6918008325,7498404.526929526,-0.35740084792310534,-0.3818975252427037,0.8523021260781554,31.537048818849165,223.10219670098667
493841.6918008325,7498719.100515713,-0.21599195294826298,-0.4738663965958694,0.8536967344665444,31.383947504781318,204.5038638791791
493841.6918008325,7499033.6741019,-0.10581104939129016,-0.5052027985353749,0.8564894361162544,31.075327143674507,191.8291946541013
493841.6918008325,7499348.247688088,-0.02912669156180127,-0.5079988901076816,0.8608651250271596,30.58614171730457,183.2815256094175
493841.6918008325,7499662.821274275,0.023393117828886464,-0.49776469968241527,0.8669965777258402,29.888523760383272,177.30928799465732
493841.6918008325,7499977.394860462,0.05905845697724712,-0.48046579538131645,0.8750226957788384,28.952338220498035,172.99240211523
