X,Y,l,m,angle
493841.6918008325,7494944.217481465,-0.8810115387434228,0.47309477760903956,-61.76462649052522
493841.6918008325,7495258.791067652,-0.5992963162408531,0.8005272795727473,-36.8195166152577
493841.6918008325,7495573.36465384,-0.10349845014747698,0.9946296148904226,-5.940662740821701
493841.6918008325,7495887.938240027,0.26458290065435186,0.9643629444775081,15.342170166802587
493841.6918008325,7496202.511826214,0.432269133292554,0.9017446403514158,25.611651464096326
493841.6918008325,7496517.085412402,0.48804216351111374,0.872820053983289,29.21197969626192
493841.6918008325,7496831.658998589,0.4756997373694587,0.8796077306769353,28.40491963878787
493841.6918008325,7497146.232584776,0.40166161676969186,0.9157881554234893,23.68209533766959
493841.6918008325,7497460.806170964,0.24725129512566227,0.9689513904519063,14.31491740152659
493841.6918008325,7497775.379757151,-0.02197862245934714,0.9997584409019958,-1.259383713263089
493841.6918008325,7498089.953343338,-0.3960987187681721,0.9182079312390047,-23.334515970197423
493841.6918008325,7498404.526929526,-0.7301360795965979,0.6833017673556175,-46.89780329901335
493841.6918008325,7498719.100515713,-0.9099333029676897,0.4147546071477818,-65.49613612082089
493841.6918008325,7499033.6741019,-0.9787630621939908,0.20499480014049665,-78.1708053458987
493841.6918008325,7499348.247688088,-0.9983603256004748,0.057242119692703645,-86.71847439058249
493841.6918008325,7499662.821274275,-0.9988974980797598,-0.046944523961760604,-92.6907120053427
493841.6918008325,7499977.394860462,-0.9925299820517139,-0.12200096199794624,-97.00759788477004
493841.6918008325,7500291.96844665,-0.9842474768127142,-0.176796222775844,-100.18320414993843
493841.6918008325,7500606.542032837,-0.9762459139797165,-0.2166654458789123,-102.51325371495497
493841.6918008325,7500921.115619024,-0.9695344994935655,-0.24495480050768817,-104.17916259576745
493841.6918008325,7501235.689205212,-0.9645525552721014,-0.26389082613471,-105.30105592681886
493841.6918008325,7501550.262791399,-0.9614320279693828,-0.2750426432295183,-105.9645554361825
493841.6918008325,7501864.836377586,-0.9601242908379525,-0.27957350758417504,-106.23475196534544
493841.6918008325,7502179.409963774,-0.9604692355991628,-0.27838614812443546,-106.16390857635717
493841.6918008325,7502493.983549961,-0.9622373728261477,-0.2722117527525826,-105.79592151245528
493841.6918008325,7502808.557136148,-0.9651586119641025,-0.2616655379516515,-105.16891224983978
493841.6918008325,7503123.130722336,-0.9689441205128788,-0.24727978349133925,-104.3166019744142
493841.6918008325,7503437.704308523,-0.9733038030592254,-0.22952060245313177,-103.26884926155545
493841.6918008325,7503752.27789471,-0.9779596028629326,-0.20879419332963967,-102.05169825643188
493841.6918008325,7504066.8514808975,-0.9826536470499687,-0.18545028967191104,-100.68738639192301
493841.6918008325,7504381.425067085,-0.9871505607336509,-0.15979289860077767,-99.19487552444242
493841.6918008325,7504695.998653272,-0.9912355061491197,-0.13210666655887635,-97.59134552552825
493841.6918008325,7505010.5722394595,-0.9947128774040542,-0.10269513876784524,-95.8943898146018
493841.6918008325,7505325.145825647,-0.9974113816324788,-0.07190643775066147,-94.12349406816863
493841.6918008325,7505639.719411834,-0.9991949981487032,-0.04011677547626518,-92.29913889260094
493841.6918008325,7505954.2929980215,-0.9999704885224937,-0.007682583164872776,-90.44018392127329
493841.6918008325,7506268.866584209,-0.9996856707254221,0.02507109383857996,-88.56338160837946
493841.6918008325,7506583.440170396,-0.9983300213832449,0.05776823006575452,-86.68828052173167
493841.6918008325,7506898.013756583,-0.9959569033548635,0.08983232524982974,-84.84603903788881
493841.6918008325,7507212.587342771,-0.992730913184018,0.12035503316781507,-83.08740701253542
493841.6918008325,7507527.160928958,-0.9889808612566218,0.14804342629144546,-81.48644276718382
493841.6918008325,7507841.734515145,-0.9852259495622272,0.1712595349439198,-80.13894085116164
493841.6918008325,7508156.308101333,-0.9821383435902901,0.18816023503844065,-79.15456294979334
493841.6918008325,7508470.88168752,-0.9804130458331115,0.1969524296885957,-78.64119827694796
493841.6918008325,7508785.455273707,-0.9805565371603556,0.1962367891912527,-78.6830175674476
493841.6918008325,7509100.028859895,-0.9826748581685395,0.18533786208824324,-79.31916887455878
493841.6918008325,7509414.602446082,-0.9863771443449053,0.16449963256490807,-80.53183165129616
493841.6918008325,7509729.176032269,-0.9908587253611268,0.13490361883849855,-82.24695332807104
493841.6918008325,7510043.749618457,-0.995130900404162,0.0985621177775813,-84.34362316057187
493841.6918008325,7510358.323204644,-0.9983070800695573,0.058163337962970234,-86.66560437827948
493841.6918008325,7510672.896790831,-0.9998570682057127,0.016906896790264914,-89.03126001423328
493841.6918008325,7510987.470377019,-0.9997651294601403,-0.02167223836037799,-91.24182501487748
493841.6918008325,7511302.043963206,-0.9985458602734131,-0.05390885762868032,-93.09024804990563
493841.6918008325,7511616.617549393,-0.9970876250100774,-0.07626446126318001,-94.37387870719716
493841.6918008325,7511931.191135581,-0.9963234762921804,-0.08567106039418883,-94.91461456349899
493841.6918008325,7512245.764721768,-0.9967945670490046,-0.08000369429962216,-94.58877808419957
493841.6918008325,7512560.338307955,-0.9982770257219444,-0.05867691126625811,-93.363871547142
493841.6918008325,7512874.911894143,-0.9997306256047006,-0.023209399562118444,-91.32992005755725
493841.6918008325,7513189.48548033,-0.9997443477423779,0.022610598337230354,-88.70439773324784
493841.6918008325,7513504.059066517,-0.9973057492091969,0.07335695327835196,-85.79317742181767
493841.6918008325,7513818.632652705,-0.9923603924485074,0.1233728150746531,-82.9132023972994
493841.6918008325,7514133.206238892,-0.9857388866209681,0.16828204718048265,-80.31205134962346
493841.6918008325,7514447.779825079,-0.9785979834729401,0.20578140524035482,-78.12475441417213
493841.6918008325,7514762.353411267,-0.9718791511175647,0.23548018095585344,-76.38007052074848
493841.6918008325,7515076.926997454,-0.9660907268959872,0.2582028415908373,-75.03654819549578
493841.6918008325,7515391.500583641,-0.9613642720967982,0.27527937869697694,-74.02133600423953
493841.6918008325,7515706.074169829,-0.9576068992480304,0.288078160422779,-73.25706678173891
493841.6918008325,7516020.647756016,-0.9546328911453756,0.2977852298946699,-72.67537264718192
493841.6918008325,7516335.221342203,-0.9522429325413986,0.3053414440015591,-72.22129283137392
494156.26538701984,7494944.217481465,-0.8620290687659563,0.5068588409039523,-59.5451757120538
494156.26538701984,7495258.791067652,-0.5453710170533059,0.8381947588467985,-33.050021284522785
494156.26538701984,7495573.36465384,-0.023533790196962723,0.9997230420066177,-1.348511350196968
494156.26538701984,7495887.938240027,0.3352594152429659,0.9421258538491258,19.588313618738542
494156.26538701984,7496202.511826214,0.49575874688295457,0.8684602840021198,29.719795417356277
494156.26538701984,7496517.085412402,0.5542921418148182,0.8323221861288702,33.66197309960084
494156.26538701984,7496831.658998589,0.5548642759902634,0.8319408844562218,33.70136695848797
494156.26538701984,7497146.232584776,0.506814220443144,0.8620553033051931,30.451858581481844
494156.26538701984,7497460.806170964,0.39636177576839604,0.9180944083860461,23.35093162839909
494156.26538701984,7497775.379757151,0.18228220630767808,0.9832462546400088,10.502720175065276
494156.26538701984,7498089.953343338,-0.19015907444914296,0.9817532920263855,-10.962067744624736
494156.26538701984,7498404.526929526,-0.6343181157067309,0.7730721364053049,-39.369428712464874
494156.26538701984,7498719.100515713,-0.8993383021421244,0.4372534943257983,-64.07122585933915
494156.26538701984,7499033.6741019,-0.9851994338930691,0.17141200499608072,-80.13007384148251
494156.26538701984,7499348.247688088,-0.9999990451658036,-0.0013819071897235382,-90.0791774748504
494156.26538701984,7499662.821274275,-0.9935189288572024,-0.11366678495689517,-96.52673322462947
494156.26538701984,7499977.394860462,-0.9819547212780012,-0.189116168954014,-100.90120933056414
494156.26538701984,7500291.96844665,-0.9705687966444762,-0.2408240249229579,-103.93518007179307
494156.26538701984,7500606.542032837,-0.9611573667186076,-0.276000935510284,-106.0216722587683
494156.26538701984,7500921.115619024,-0.9543060326453935,-0.29883104935165145,-107.38740676841483
494156.26538701984,7501235.689205212,-0.9501150237612039,-0.3118997300788299,-108.17375440271638
494156.26538701984,7501550.262791399,-0.948457259475906,-0.31690507561011666,-108.47585984484483
494156.26538701984,7501864.836377586,-0.9490811024019575,-0.31503184134859286,-108.36273603716288
494156.26538701984,7502179.409963774,-0.9516569463217486,-0.30716291527065,-107.88833749692367
494156.26538701984,7502493.983549961,-0.9558029869389095,-0.29400790832672963,-107.09805675271092
494156.26538701984,7502808.557136148,-0.9611041987004879,-0.27618602289090094,-106.03270585160342
494156.26538701984,7503123.130722336,-0.9671302082165425,-0.2542816555613622,-104.73102404832234
494156.26538701984,7503437.704308523,-0.9734540058601896,-0.22888271772842544,-103.23130160044825
494156.26538701984,7503752.27789471,-0.9796717287322391,-0.20060733765938463,-101.57247672450764
494156.26538701984,7504066.8514808975,-0.985423140523443,-0.17012123359802728,-99.79486790656372
494156.26538701984,7504381.425067085,-0.9904122153312717,-0.1381435620020087,-97.94043639218023
494156.26538701984,7504695.998653272,-0.9944264301438682,-0.10543279865071505,-96.0521025071175
494156.26538701984,7505010.5722394595,-0.997351007988518,-0.07273903260483565,-94.17132349253158
494156.26538701984,7505325.145825647,-0.9991708234476867,-0.04071443934124014,-92.3334105115803
494156.26538701984,7505639.719411834,-0.9999519555857453,-0.009802373194454119,-90.56164360789593
494156.26538701984,7505954.2929980215,-0.9998033444770241,0.019831096100745967,-88.86368740194956
494156.26538701984,7506268.866584209,-0.9988352388434824,0.04825106884291185,-87.2343435384971
494156.26538701984,7506583.440170396,-0.9971393668450825,0.07558493955668637,-85.66516772485075
494156.26538701984,7506898.013756583,-0.9948040684036059,0.10180798341796961,-84.1567082713516
494156.26538701984,7507212.587342771,-0.9919564775143803,0.12657940874116372,-82.72802620234516
494156.26538701984,7507527.160928958,-0.9888114726098598,0.1491706125050121,-81.42113459031974
494156.26538701984,7507841.734515145,-0.9857054743906861,0.1684776476457116,-80.30068193812671
494156.26538701984,7508156.308101333,-0.9830913009654789,0.18311606692478444,-79.44868522726534
494156.26538701984,7508470.88168752,-0.9814690853517266,0.1916205482166393,-78.95262733603096
494156.26538701984,7508785.455273707,-0.9812489241969822,0.19274477622562225,-78.88699028295736
494156.26538701984,7509100.028859895,-0.9825913432327896,0.185780117892045,-79.29338163965168
494156.26538701984,7509414.602446082,-0.9853103951759625,0.17077302233721955,-80.16723276118083
494156.26538701984,7509729.176032269,-0.988900555281059,0.14857890753674666,-81.45541885001869
494156.26538701984,7510043.749618457,-0.9926787676789681,0.12078437067503794,-83.06262701170817
494156.26538701984,7510358.323204644,-0.995980587697265,0.08956935262806505,-84.86116724480772
494156.26538701984,7510672.896790831,-0.9983422346270332,0.05755677683732717,-86.70041609127398
494156.26538701984,7510987.470377019,-0.9996174778334396,0.027656789580734725,-88.41518060080541
494156.26538701984,7511302.043963206,-0.9999958300359532,0.0028878903554549256,-89.83453584094265
494156.26538701984,7511616.617549393,-0.9999040535142109,-0.013852211586972196,-90.7936986452167
494156.26538701984,7511931.191135581,-0.9997980980014093,-0.02009386057392654,-91.15137089408158
494156.26538701984,7512245.764721768,-0.9998992707562175,-0.01419324984576719,-90.81324061962475
494156.26538701984,7512560.338307955,-0.9999911065349073,0.004217446038977668,-89.7583574252954
494156.26538701984,7512874.911894143,-0.9994265739001124,0.03386035118369558,-88.05957387316737
494156.26538701984,7513189.48548033,-0.9974221940744862,0.07175630123994682,-85.88513039905841
494156.26538701984,7513504.059066517,-0.9935141385827605,0.11370864714767871,-83.47085259626901
494156.26538701984,7513818.632652705,-0.987866669467593,0.1553043571668399,-81.06555160868425
494156.26538701984,7514133.206238892,-0.9811954003039116,0.193017062516366,-78.87109087120436
494156.26538701984,7514447.779825079,-0.9743920935382971,0.2248556160073712,-77.00561198692937
494156.26538701984,7514762.353411267,-0.9681593657890168,0.25033466087421546,-75.50268343072446
494156.26538701984,7515076.926997454,-0.9628604225474353,0.26999964202156757,-74.33575445042052
494156.26538701984,7515391.500583641,-0.9585628407377054,0.2848811688351133,-73.44825439035792
494156.26538701984,7515706.074169829,-0.9551566150320838,0.2961010651119847,-72.77642620175037
494156.26538701984,7516020.647756016,-0.9524595073222156,0.30466520462882224,-72.26197704488624
494156.26538701984,7516335.221342203,-0.9502823033031397,0.3113896980134054,-71.8569998860288
494470.83897320717,7494944.217481465,-0.8387316924406344,0.544544899981323,-57.0064308249217
494470.83897320717,7495258.791067652,-0.4942404984805287,0.8693252151305164,-29.619680410501804
494470.83897320717,7495573.36465384,0.03326166572296216,0.9994466777138908,1.9061046418635867
494470.83897320717,7495887.938240027,0.3793919474086253,0.9252360510926338,22.296023570589796
494470.83897320717,7496202.511826214,0.5353957949344675,0.8446012921885033,32.370757231591774
494470.83897320717,7496517.085412402,0.5972690183447077,0.8020409713509338,36.674554862475404
494470.83897320717,7496831.658998589,0.6082347331234802,0.7937572106269076,37.4619718359431
494470.83897320717,7497146.232584776,0.580218297418429,0.8144610041867316,35.46589798088978
494470.83897320717,7497460.806170964,0.5058708900672738,0.8626092061777131,30.389181065319452
494470.83897320717,7497775.379757151,0.3517846696636066,0.9360809506606078,20.59651239700286
494470.83897320717,7498089.953343338,0.03483009047861895,0.999393248324828,1.9960208971565903
494470.83897320717,7498404.526929526,-0.49788548379366937,0.8672427832086835,-29.8602030601611
494470.83897320717,7498719.100515713,-0.8926688742173837,0.45071308057728776,-63.210556331638365
494470.83897320717,7499033.6741019,-0.9940471741207729,0.10895051914748137,-83.7451788575586
494470.83897320717,7499348.247688088,-0.9962062409274933,-0.08702370675346345,-94.99240604132237
494470.83897320717,7499662.821274275,-0.979577540769491,-0.20106675911247981,-101.59934712860314
494470.83897320717,7499977.394860462,-0.9624607645543676,-0.2714208479343884,-105.74883308373147
494470.83897320717,7500291.96844665,-0.9487493038639949,-0.31602967964668294,-108.42298580201022
494470.83897320717,7500606.542032837,-0.9390866400363805,-0.34368049479884893,-110.1012690624595
494470.83897320717,7500921.115619024,-0.9333285326299419,-0.35902346744863295,-111.04023592851607
494470.83897320717,7501235.689205212,-0.9311220380032086,-0.36470776019266643,-111.38959887736294
494470.83897320717,7501550.262791399,-0.9320418979858993,-0.3623505214551825,-111.24461994524515
494470.83897320717,7501864.836377586,-0.9356166861343086,-0.3530175868523474,-110.67199567998415
494470.83897320717,7502179.409963774,-0.9413306043273635,-0.3374858417129234,-109.72377178678211
494470.83897320717,7502493.983549961,-0.9486256844807925,-0.3164005542715558,-108.44538469584366
494470.83897320717,7502808.557136148,-0.9569118930536358,-0.29037842366902356,-106.88061304975771
494470.83897320717,7503123.130722336,-0.9655869823092129,-0.26008033296461985,-105.07482887056798
494470.83897320717,7503437.704308523,-0.9740658099481352,-0.22626488435036385,-103.07726905867133
494470.83897320717,7503752.27789471,-0.9818178315350465,-0.18982556645462526,-100.94260463467502
494470.83897320717,7504066.8514808975,-0.9884102283561729,-0.1518065231829589,-98.73163175598836
494470.83897320717,7504381.425067085,-0.9935513180019733,-0.11338332547840567,-96.51038651348937
494470.83897320717,7504695.998653272,-0.9971238345389548,-0.07578956784631523,-94.34659033929589
494470.83897320717,7505010.5722394595,-0.9991925841747727,-0.040176855652719154,-92.30258401062773
494470.83897320717,7505325.145825647,-0.9999724324188464,-0.007425254361688807,-90.42543964619038
494470.83897320717,7505639.719411834,-0.9997573002717224,0.02203044605533771,-88.7376462942856
494470.83897320717,7505954.2929980215,-0.99883465727745,0.0482631062141554,-87.23365304346584
494470.83897320717,7506268.866584209,-0.9974229249475907,0.0717461412829489,-85.88571402597807
494470.83897320717,7506583.440170396,-0.9956553704524371,0.09311489295069898,-84.6571698414168
494470.83897320717,7506898.013756583,-0.9936057141953736,0.11290564520121019,-83.51715943569265
494470.83897320717,7507212.587342771,-0.9913338826808062,0.13136640761243898,-82.4514410842576
494470.83897320717,7507527.160928958,-0.9889328757089475,0.14836363214087014,-81.46789145906125
494470.83897320717,7507841.734515145,-0.9865661621270178,0.16336219803236932,-80.59789557797149
494470.83897320717,7508156.308101333,-0.9844847825522286,0.175469977269877,-79.89399096710594
494470.83897320717,7508470.88168752,-0.9830055831865839,0.18357566130618697,-79.421898329758
494470.83897320717,7508785.455273707,-0.9824363282532111,0.18659812680825258,-79.24567904851207
494470.83897320717,7509100.028859895,-0.9829653726341091,0.18379084907113014,-79.40935557001035
494470.83897320717,7509414.602446082,-0.9845710497945764,0.17498527911343234,-79.92219855541798
494470.83897320717,7509729.176032269,-0.9870049735372362,0.1606897078619525,-80.75306841283408
494470.83897320717,7510043.749618457,-0.9898597258740266,0.1420483125299169,-81.83360935306274
494470.83897320717,7510358.323204644,-0.9926867166562419,0.12071902324923897,-83.06639874213111
494470.83897320717,7510672.896790831,-0.9951150600492256,0.09872191885911734,-84.33442236057438
494470.83897320717,7510987.470377019,-0.996931598357283,0.07827763535514448,-85.51042898818318
494470.83897320717,7511302.043963206,-0.9980989196831708,0.06163234968170079,-86.46648703386379
494470.83897320717,7511616.617549393,-0.998705731527789,0.050861201455960854,-87.08460994123715
494470.83897320717,7511931.191135581,-0.9988640795321604,0.04765029507117473,-87.26880498142633
494470.83897320717,7512245.764721768,-0.9985908171870449,0.05306957536771827,-86.95790822210644
494470.83897320717,7512560.338307955,-0.9977290278320587,0.06735567549431225,-86.13788003607527
494470.83897320717,7512874.911894143,-0.9959658672564413,0.08973288839731298,-84.85175945241151
494470.83897320717,7513189.48548033,-0.9929724278582375,0.11834592309546386,-83.20334929461006
494470.83897320717,7513504.059066517,-0.9886179401054556,0.1504478929784196,-81.34711650428113
494470.83897320717,7513818.632652705,-0.9831238718398221,0.18294111790047926,-79.45888130431206
494470.83897320717,7514133.206238892,-0.9770264109003838,0.21311825919689373,-77.69484691700846
494470.83897320717,7514447.779825079,-0.9709626006766741,0.23923132756223553,-76.15882285441991
494470.83897320717,7514762.353411267,-0.965439821078251,0.26062607673906113,-74.89278544313946
494470.83897320717,7515076.926997454,-0.9607255321296686,0.27750036380906795,-73.88892490006671
494470.83897320717,7515391.500583641,-0.9568665292367686,0.2905278734069767,-73.11043832890043
494470.83897320717,7515706.074169829,-0.9537690882924994,0.30054039032664903,-72.50993689867487
494470.83897320717,7516020.647756016,-0.9512781368334342,0.3083340824215023,-72.04113679048665
494470.83897320717,7516335.221342203,-0.9492301954552822,0.31458231996716973,-71.66439931993487
494785.4125593945,7494944.217481465,-0.8050663040940562,0.5931848329250644,-53.616659155539146
494785.4125593945,7495258.791067652,-0.43210508542110343,0.9018232615946546,-25.601228512305976
494785.4125593945,7495573.36465384,0.08716395674207193,0.9961939794262292,5.000472425102752
494785.4125593945,7495887.938240027,0.4147881555389084,0.9099180106056977,24.505976338814094
494785.4125593945,7496202.511826214,0.5652715335601488,0.8249048995772528,34.421149208162404
494785.4125593945,7496517.085412402,0.6293262376366066,0.7771412269479425,39.000431046139894
494785.4125593945,7496831.658998589,0.6480292858426628,0.7616154178391141,40.39318273710678
494785.4125593945,7497146.232584776,0.6348579840427804,0.7726288501584295,39.40945220492488
494785.4125593945,7497460.806170964,0.587806919503319,0.8090012517814905,36.001534518832734
494785.4125593945,7497775.379757151,0.4849898673143853,0.8745197702753066,29.011808545133842
494785.4125593945,7498089.953343338,0.25107579915137107,0.9679674287291389,14.541181561343961
494785.4125593945,7498404.526929526,-0.30507355295397154,0.9523287915883045,-17.762589081708768
