GROUP_,id,x,y,z,code
Hamersley Group,6148,507206.81229605,7509149.33361583,570.,Mount_McRae_Shale_and_Mount_Sylvia_Formation
Hamersley Group,6148,507402.60110018,7509271.33135716,566.,Mount_McRae_Shale_and_Mount_Sylvia_Formation
Hamersley Group,6148,507892.10797616,7509442.8513946,557.,Mount_McRae_Shale_and_Mount_Sylvia_Formation
Hamersley Group,6148,508601.86807735,7509320.34794474,544.,Mount_McRae_Shale_and_Mount_Sylvia_Formation
Hamersley Group,6148,509507.47002617,7509026.84910978,539.,Mount_McRae_Shale_and_Mount_Sylvia_Formation
Hamersley Group,6148,509791.997516,7509010.85772749,527.,Mount_McRae_Shale_and_Mount_Sylvia_Formation
Hamersley Group,6148,516489.10989085,7497660.42043624,597.,Marra_Mamba_Iron_Formation
Hamersley Group,6148,516265.41816958,7497432.42149587,579.,Marra_Mamba_Iron_Formation
Hamersley Group,6148,515863.18009091,7497103.4211183,573.,Marra_Mamba_Iron_Formation
Hamersley Group,6148,515793.12893132,7497078.39958474,573.,Marra_Mamba_Iron_Formation
Hamersley Group,6148,515754.79905719,7497040.40949866,573.,Marra_Mamba_Iron_Formation
Hamersley Group,6148,516885.9020886,7498199.42979174,613.,Marra_Mamba_Iron_Formation
Hamersley Group,6148,516642.61860186,7497850.43077794,585.,Marra_Mamba_Iron_Formation
Hamersley Group,6148,516084.35138976,7498918.92114254,552.,Mount_McRae_Shale_and_Mount_Sylvia_Formation
Hamersley Group,6148,515626.22934913,7498502.40996854,550.,Mount_McRae_Shale_and_Mount_Sylvia_Formation
Hamersley Group,6148,515210.14181899,7498208.40768241,550.,Mount_McRae_Shale_and_Mount_Sylvia_Formation
Hamersley Group,6148,514867.51079044,7498037.40065623,541.,Mount_McRae_Shale_and_Mount_Sylvia_Formation
Hamersley Group,6148,514809.95045296,7497998.90952444,564.,Mount_McRae_Shale_and_Mount_Sylvia_Formation
Hamersley Group,6148,512340.63212139,7495887.86019937,563.,Marra_Mamba_Iron_Formation
Hamersley Group,6148,511894.49051341,7495680.36118395,576.,Marra_Mamba_Iron_Formation
Hamersley Group,6148,511416.59121131,7495485.85013495,613.,Marra_Mamba_Iron_Formation
Hamersley Group,6148,510588.87081479,7495279.84101644,586.,Marra_Mamba_Iron_Formation
Hamersley Group,6148,510068.06069821,7495416.34177073,573.,Marra_Mamba_Iron_Formation
Hamersley Group,6148,510036.16036266,7495391.34113998,573.,Marra_Mamba_Iron_Formation
Hamersley Group,6148,509921.37833191,7495328.33796087,591.,Marra_Mamba_Iron_Formation
Hamersley Group,6148,509806.51910253,7495246.33914974,584.,Marra_Mamba_Iron_Formation
Hamersley Group,6148,509474.52861274,7494974.32325968,586.,Marra_Mamba_Iron_Formation
Hamersley Group,6148,509346.68906727,7494841.32883145,586.,Marra_Mamba_Iron_Formation
Hamersley Group,6148,515387.88020121,7497449.91148447,532.,Marra_Mamba_Iron_Formation
Hamersley Group,6148,515247.73165965,7497393.39866104,532.,Marra_Mamba_Iron_Formation
Hamersley Group,6148,515151.92126786,7497317.40898987,532.,Marra_Mamba_Iron_Formation
Hamersley Group,6148,514979.90238546,7497235.89822413,534.,Marra_Mamba_Iron_Formation
Hamersley Group,6148,514795.08186287,7497160.40068031,571.,Marra_Mamba_Iron_Formation
Hamersley Group,6148,514342.94894658,7497035.39204401,557.,Marra_Mamba_Iron_Formation
Hamersley Group,6148,513718.05022819,7496682.38156727,571.,Marra_Mamba_Iron_Formation
Hamersley Group,6148,512863.42013538,7496165.36925071,604.,Marra_Mamba_Iron_Formation
Hamersley Group,6148,548300.1721856187,7516492.022879522,741.,Mount_McRae_Shale_and_Mount_Sylvia_Formation
Hamersley Group,6148,547933.44967404,7516369.64140041,837.,Mount_McRae_Shale_and_Mount_Sylvia_Formation
Hamersley Group,6148,547615.22835431,7516271.64891078,702.,Mount_McRae_Shale_and_Mount_Sylvia_Formation
Hamersley Group,6148,547248.11951795,7516051.66193073,789.,Mount_McRae_Shale_and_Mount_Sylvia_Formation
Hamersley Group,6148,546954.42878852,7515806.65842181,722.,Mount_McRae_Shale_and_Mount_Sylvia_Formation
Hamersley Group,6148,546880.97881149,7515611.14868719,788.,Mount_McRae_Shale_and_Mount_Sylvia_Formation
Hamersley Group,6148,546758.59954223,7515243.66039154,705.,Mount_McRae_Shale_and_Mount_Sylvia_Formation
Hamersley Group,6148,546513.85915331,7515023.63873331,730.,Mount_McRae_Shale_and_Mount_Sylvia_Formation
Hamersley Group,6148,546146.72168229,7514876.65052557,703.,Mount_McRae_Shale_and_Mount_Sylvia_Formation
Hamersley Group,6148,545632.76747009,7514803.15205886,743.,Mount_McRae_Shale_and_Mount_Sylvia_Formation
Hamersley Group,6148,545314.56996826,7514632.16104705,804.,Mount_McRae_Shale_and_Mount_Sylvia_Formation
Hamersley Group,6148,544825.08281645,7514215.6581966,838.,Mount_McRae_Shale_and_Mount_Sylvia_Formation
Hamersley Group,6148,544678.24831814,7513799.65971363,743.,Mount_McRae_Shale_and_Mount_Sylvia_Formation
Hamersley Group,6148,544482.41825996,7513016.64798386,676.,Mount_McRae_Shale_and_Mount_Sylvia_Formation
Hamersley Group,6148,544482.41079313,7512551.65888965,658.,Mount_McRae_Shale_and_Mount_Sylvia_Formation
Hamersley Group,6148,544335.54076253,7512062.14880296,653.,Mount_McRae_Shale_and_Mount_Sylvia_Formation
Hamersley Group,6148,544090.77893216,7511817.1508756,704.,Mount_McRae_Shale_and_Mount_Sylvia_Formation
Hamersley Group,6148,544029.57779792,7511765.41204221,668.,Mount_McRae_Shale_and_Mount_Sylvia_Formation
Hamersley Group,6148,543772.59828352,7511548.15780616,677.,Mount_McRae_Shale_and_Mount_Sylvia_Formation
Hamersley Group,6148,543601.27837602,7511278.65054946,673.,Mount_McRae_Shale_and_Mount_Sylvia_Formation
Hamersley Group,6148,543478.91032372,7510911.66068574,673.,Mount_McRae_Shale_and_Mount_Sylvia_Formation
Hamersley Group,6148,543381.02146842,7510324.15103518,654.,Mount_McRae_Shale_and_Mount_Sylvia_Formation
Hamersley Group,6148,543356.4892539,7509687.64878335,651.,Mount_McRae_Shale_and_Mount_Sylvia_Formation
Hamersley Group,6148,543283.10985974,7509198.14747132,657.,Mount_McRae_Shale_and_Mount_Sylvia_Formation
Hamersley Group,6148,543136.21082449,7508978.15168947,648.,Mount_McRae_Shale_and_Mount_Sylvia_Formation
Hamersley Group,6148,542866.96080115,7508635.64761918,662.,Mount_McRae_Shale_and_Mount_Sylvia_Formation
Hamersley Group,6148,542622.22038079,7508170.65934727,649.,Mount_McRae_Shale_and_Mount_Sylvia_Formation
Hamersley Group,6148,542597.7511562,7507729.65009142,648.,Mount_McRae_Shale_and_Mount_Sylvia_Formation
Hamersley Group,6148,542426.4309211,7507142.66100053,636.,Mount_McRae_Shale_and_Mount_Sylvia_Formation
Hamersley Group,6148,542157.1883641,7506530.64897022,644.,Mount_McRae_Shale_and_Mount_Sylvia_Formation
Hamersley Group,6148,541936.88974618,7506065.65091761,629.,Mount_McRae_Shale_and_Mount_Sylvia_Formation
Hamersley Group,6148,541716.57905509,7505698.16170224,630.,Mount_McRae_Shale_and_Mount_Sylvia_Formation
Hamersley Group,6148,540762.07869624,7504939.64010277,611.,Mount_McRae_Shale_and_Mount_Sylvia_Formation
Hamersley Group,6148,540125.77019516,7504572.64972267,645.,Mount_McRae_Shale_and_Mount_Sylvia_Formation
Hamersley Group,6148,539244.62988912,7504132.14991952,625.,Mount_McRae_Shale_and_Mount_Sylvia_Formation
Hamersley Group,6148,538755.14261984,7503960.65023587,649.,Mount_McRae_Shale_and_Mount_Sylvia_Formation
Hamersley Group,6148,538020.88079731,7503667.1522582,620.,Mount_McRae_Shale_and_Mount_Sylvia_Formation
Hamersley Group,6148,537555.86285074,7503544.64887548,598.,Mount_McRae_Shale_and_Mount_Sylvia_Formation
Hamersley Group,6148,536992.93201676,7503520.14226087,593.,Mount_McRae_Shale_and_Mount_Sylvia_Formation
Hamersley Group,6148,536527.9085336,7503593.6495772,596.,Mount_McRae_Shale_and_Mount_Sylvia_Formation
Hamersley Group,6148,536258.67949783,7503520.1420491,596.,Mount_McRae_Shale_and_Mount_Sylvia_Formation
Hamersley Group,6148,536013.90197875,7503250.64068908,648.,Mount_McRae_Shale_and_Mount_Sylvia_Formation
Hamersley Group,6148,535891.52870108,7502908.13748619,635.,Mount_McRae_Shale_and_Mount_Sylvia_Formation
Hamersley Group,6148,535646.81102753,7502516.63029399,608.,Mount_McRae_Shale_and_Mount_Sylvia_Formation
Hamersley Group,6148,534985.92142136,7502076.12178587,618.,Mount_McRae_Shale_and_Mount_Sylvia_Formation
Hamersley Group,6148,534325.12103121,7501880.11967149,701.,Mount_McRae_Shale_and_Mount_Sylvia_Formation
Hamersley Group,6148,533444.01858443,7501684.61032926,589.,Mount_McRae_Shale_and_Mount_Sylvia_Formation
Hamersley Group,6148,532856.65218931,7501611.11120583,588.,Mount_McRae_Shale_and_Mount_Sylvia_Formation
Hamersley Group,6148,532540.00999317,7501632.11100111,573.,Mount_McRae_Shale_and_Mount_Sylvia_Formation
Hamersley Group,6148,532622.25910074,7501487.10041894,573.,Mount_McRae_Shale_and_Mount_Sylvia_Formation
