X,Y,l,m,n,dip,dip_dir
493841.6918008325,7494944.217481465,0.1980838860281091,0.4204599028146921,0.8854243300367699,27.69621519505445,25.22570748318077
493841.6918008325,7495258.791067652,0.1963623979024977,0.4308088050498564,0.8808209705618366,28.258444279140726,24.503470403097083
493841.6918008325,7495573.36465384,0.19470434425019564,0.44068684829105415,0.8762906595835647,28.80190528282462,23.83680919835672
493841.6918008325,7495887.938240027,0.19312851221649657,0.45000427910478813,0.8718930705977783,29.320622695053572,23.227577013002758
493841.6918008325,7496202.511826214,0.19165629079695337,0.45865990284070585,0.8676975047354395,29.807832815465666,22.67816947087408
493841.6918008325,7496517.085412402,0.19031197556106452,0.46653905240084953,0.863783922368877,30.25586616121621,22.191673635702557
493841.6918008325,7496831.658998589,0.1891230993168817,0.4735110261604928,0.8602440127133779,30.65600832843291,21.77205932928007
493841.6918008325,7497146.232584776,0.1881207816927689,0.4794258479671492,0.857182260546893,30.99833574112612,21.424429199681924
493841.6918008325,7497460.806170964,0.18734008231192853,0.48411016667595363,0.8547169356461474,31.271522887760995,21.155351271267307
493841.6918008325,7497775.379757151,0.186820328327312,0.4873620731196919,0.8529808758748063,31.46261859406946,20.97330894967041
493841.6918008325,7498089.953343338,0.18660536431373945,0.48894457299562755,0.8521218472422005,31.556791332459916,20.889321023822163
493841.6918008325,7498404.526929526,0.18674363594269874,0.4885774251002159,0.8523021260781554,31.537048818849165,20.917812264050724
493841.6918008325,7498719.100515713,0.1872879612455722,0.48592705742079795,0.8536967344665444,31.383947504781318,21.0778610790652
493841.6918008325,7499033.6741019,0.1882947544489746,0.48059435209775514,0.8564894361162544,31.075327143674507,21.395027563857866
493841.6918008325,7499348.247688088,0.18982233442615237,0.47210032605896257,0.8608651250271596,30.58614171730457,21.904097586855414
493841.6918008325,7499662.821274275,0.19192775939207055,0.45987027451926116,0.8669965777258402,29.888523760383272,22.65331276789982
493841.6918008325,7499977.394860462,0.19466137603783495,0.4432180395144032,0.8750226957788384,28.952338220498035,23.711082591097693
493841.6918008325,7500291.96844665,0.19805797853951132,0.4213341035657904,0.885014468982996,27.74669809040401,25.176971692004997
493841.6918008325,7500606.542032837,0.2021232409547337,0.3932847032021658,0.8969243767972521,26.243310177087196,27.200271763169383
493841.6918008325,7500921.115619024,0.2068141796797934,0.35803455283152696,0.9105158724932272,24.42326109740297,30.01234078001545
493841.6918008325,7501235.689205212,0.21201337168842194,0.3145127783768363,0.9252740364146128,22.290286325975686,33.98394828398011
493841.6918008325,7501550.262791399,0.21749939812375982,0.2617477099993203,0.940309602272525,19.89638477362044,39.724904705673396
493841.6918008325,7501864.836377586,0.2229214249798658,0.19909392530679088,0.9542890794674745,17.39065695802232,48.23155834548106
493841.6918008325,7502179.409963774,0.22779359714426772,0.12655083771593867,0.9654506525832736,15.104833186165152,60.94561899101251
493841.6918008325,7502493.983549961,0.23153074107610866,0.04511284568925292,0.9717810180748365,13.64378618889306,78.97428991950613
