X,Y,formation,appar_th,thickness,cl,cm,p1x,p1y,p2x,p2y,dip,type
538787.93391317,7511414.1903763665,Weeli_Wolli_Formation,846.8084756384266,18,-0.8761318353254226,0.4820715788441657,536377.5760189492,7507033.531199739,541198.2918073909,7515794.849552994,1.2452001463972664,full
540176.3702598349,7509536.418059698,Weeli_Wolli_Formation,1472.738107281725,105,-0.6337404121023255,0.7735457905440211,536308.6413071149,7506367.715999187,544044.099212555,7512705.12012021,4.102949259904804,full
540136.6306451501,7507380.908688377,Weeli_Wolli_Formation,1575.1866315467341,151,0.5884000072601714,0.8085699916867001,536093.7806867165,7510322.908724678,544179.4806035836,7504438.908652076,5.509294081132538,full
536619.020546295,7505701.410906535,Weeli_Wolli_Formation,831.1171237416498,57,0.996115052196846,0.08806135807989154,536178.7137558955,7510681.986167518,537059.3273366945,7500720.835645551,3.9550143185124966,full
533418.7666028601,7504511.129494435,Weeli_Wolli_Formation,715.2828359420237,155,0.6820239909269032,0.7313297996117343,529762.1176048014,7507921.24944907,537075.4156009187,7501101.009539801,12.543554634661149,full
527496.4746117699,7502647.560212822,Weeli_Wolli_Formation,685.0503149927252,301,0.9883794595552072,0.15200672330313747,526736.4409952542,7507589.457510598,528256.5082282856,7497705.662915045,26.074149446864666,full
523870.945712385,7502170.26538658,Weeli_Wolli_Formation,749.7717443554102,171,0.9829092105714612,0.1840909660298048,522950.490882236,7507084.811439437,524791.4005425341,7497255.719333722,13.229710908486808,full
519985.0720591949,7501672.912742423,Weeli_Wolli_Formation,728.667865683604,127,0.9937992032609978,0.1111896739711298,519429.12368933926,7506641.908758728,520541.02042905055,7496703.916726118,10.105950887287534,full
517718.81477603,7501047.941254555,Weeli_Wolli_Formation,526.7434548977868,228,0.9761454962471768,0.21711741099311466,516633.22772106447,7505928.668735791,518804.4018309956,7496167.2137733195,25.712238009782908,full
515124.487915005,7500533.91420749,Weeli_Wolli_Formation,779.0336293850429,474,0.9652909966821815,0.26117674422566844,513818.6041938767,7505360.3691909015,516430.37163613335,7495707.459224079,37.55600722764678,full
515510.22872833,7507756.93511328,Weeli_Wolli_Formation,503.400927914328,311,-0.9873951674896831,-0.15827439217391004,516301.6006891995,7502819.9592758315,514718.8567674605,7512693.910950729,38.29873153745254,full
