index,X,Y,Z,formation
92,537394.90124266,7502116.6387358,558.0,Marra_Mamba_Iron_Formation
93,537039.81019143,7501017.6294886,547.0,Marra_Mamba_Iron_Formation
94,534616.16975301,7500865.11875921,576.0,Marra_Mamba_Iron_Formation
95,533295.3713802103,7500487.039291037,594.0,Marra_Mamba_Iron_Formation
96,533029.9344967178,7500850.24582394,580.0,Marra_Mamba_Iron_Formation
97,531009.33915907,7500675.08078556,578.0,Marra_Mamba_Iron_Formation
98,528606.7054395514,7500745.170735247,587.0,Marra_Mamba_Iron_Formation
99,529070.4768030181,7500216.433158288,583.0,Marra_Mamba_Iron_Formation
100,528991.08058575,7500183.048984401,583.0,Marra_Mamba_Iron_Formation
101,525849.75991961,7500225.52054841,556.0,Marra_Mamba_Iron_Formation
102,525080.37888159,7500248.52011825,547.0,Marra_Mamba_Iron_Formation
103,526916.84106346,7507564.58170035,560.0,Turee_Creek_Group
104,532013.40103517,7508548.66975352,592.0,Turee_Creek_Group
105,533041.40998231,7507717.67045971,590.0,Turee_Creek_Group
106,529279.14016946,7505442.59959089,557.0,Turee_Creek_Group
107,526654.36969929,7504655.06131971,548.0,Turee_Creek_Group
108,521098.64891779993,7503867.99041291,525.0,Turee_Creek_Group
109,517327.84020049,7503193.44891036,518.0,Turee_Creek_Group
110,516569.9897101187,7502995.179018217,505.0,Turee_Creek_Group
111,515253.9652897357,7505525.156303448,512.0,Turee_Creek_Group
112,518079.05159515,7506117.46876826,532.0,Turee_Creek_Group
113,525888.77727527,7507345.55938777,556.0,Turee_Creek_Group
114,516974.19612537755,7502431.060227063,517.0,Turee_Creek_Group
115,515094.36837107,7502584.41129599,503.0,Turee_Creek_Group
116,513937.06722499,7502360.90845949,500.0,Turee_Creek_Group
117,513429.45925575,7502178.39905768,500.0,Turee_Creek_Group
118,512367.8448363069,7502787.42672789,491.0,Turee_Creek_Group
119,508333.19155935,7501792.3390533,473.0,Turee_Creek_Group
120,505510.96169557,7501589.31264277,466.0,Turee_Creek_Group
121,504211.50883819,7501447.31167251,466.0,Turee_Creek_Group
122,503838.67746220424,7501482.71114328,467.0,Turee_Creek_Group
123,503813.9589849019,7501485.058105128,467.0,Turee_Creek_Group
124,501592.28953192,7501244.28149062,457.0,Turee_Creek_Group
125,501145.60777989,7501041.27915432,452.0,Turee_Creek_Group
126,501183.6535732894,7500043.161245912,475.0,Turee_Creek_Group
127,500326.47406727524,7499726.720638107,459.0,Turee_Creek_Group
128,500002.2818310578,7500077.406027557,456.0,Turee_Creek_Group
129,499328.61876519,7499792.74028549,454.0,Turee_Creek_Group
