X,Y,id,left_fm,right_fm,min_offset,strat_offset
504673.789730085,7495108.27010411,Fault_7344,Weeli_Wolli_Formation,Brockman_Iron_Formation,0.0,001
504232.66855142,7495957.271079475,Fault_7344,Weeli_Wolli_Formation,Brockman_Iron_Formation,0.0,001
503781.25449963997,7496640.770641855,Fault_7344,Weeli_Wolli_Formation,Brockman_Iron_Formation,0.0,001
503110.50022833,7497341.270247765,Fault_7344,Woongarra_Rhyolite,Weeli_Wolli_Formation,0.0,001
502291.25728932,7498223.764067295,Fault_7344,Woongarra_Rhyolite,Woongarra_Rhyolite,0.0,000
501713.14152267,7499013.007930076,Fault_7344,Woongarra_Rhyolite,Woongarra_Rhyolite,0.0,000
501388.11450433,7499553.01005099,Fault_7344,Boolgeeda_Iron_Formation,Woongarra_Rhyolite,0.0,001
501227.70499378,7499922.2606159095,Fault_7344,Boolgeeda_Iron_Formation,Woongarra_Rhyolite,0.0,001
501162.05011793,7500158.010355391,Fault_7344,Turee_Creek_Group,Woongarra_Rhyolite,237.0,002
501029.71000447497,7500581.016923886,Fault_7344,Turee_Creek_Group,Boolgeeda_Iron_Formation,0.0,001
500891.82363214996,7501005.016911785,Fault_7344,Turee_Creek_Group,Turee_Creek_Group,0.0,000
500631.959988425,7501686.013850095,Fault_7344,Turee_Creek_Group,Turee_Creek_Group,0.0,000
517933.30386401387,7494738.0316059645,Fault_2235,Bunjinah_Formation,Jeerinah_Formation,250.0,002
517599.199714205,7495076.66957259,Fault_2235,Bunjinah_Formation,Jeerinah_Formation,250.0,002
517209.974249025,7495466.913735606,Fault_2235,Bunjinah_Formation,Jeerinah_Formation,250.0,002
516941.0038383,7495745.159659595,Fault_2235,Bunjinah_Formation,Jeerinah_Formation,250.0,002
516650.01538898004,7496074.660104889,Fault_2235,Jeerinah_Formation,Jeerinah_Formation,0.0,000
516099.57070408005,7496663.159015965,Fault_2235,Jeerinah_Formation,Jeerinah_Formation,0.0,000
515663.51369312,7497142.410161485,Fault_2235,Jeerinah_Formation,Marra_Mamba_Iron_Formation,0.0,001
515480.05426512996,7497347.161154389,Fault_2235,Jeerinah_Formation,Wittenoom_Formation,103.0,002
515239.280689865,7497602.661225995,Fault_2235,Marra_Mamba_Iron_Formation,Wittenoom_Formation,0.0,001
515062.097210435,7497784.904143995,Fault_2235,Wittenoom_Formation,Wittenoom_Formation,0.0,000
514921.731847655,7497906.65342246,Fault_2235,Wittenoom_Formation,Wittenoom_Formation,0.0,000
514685.9296089,7498101.40397815,Fault_2235,Wittenoom_Formation,Mount_McRae_Shale_and_Mount_Sylvia_Formation,0.0,001
514516.958912195,7498240.89381318,Fault_2235,Wittenoom_Formation,Brockman_Iron_Formation,86.0,002
