X,Y,Z,azimuth,dip,polarity,formation
528261.511217395,7510303.630070105,590.0,163.30359577606703,12.630865894878712,1,Weeli_Wolli_Formation
532369.0235282001,7511663.491073235,628.0,154.4350153266912,4.127319393531779,1,Weeli_Wolli_Formation
534067.0898217049,7512392.974521001,665.0,171.85478588149522,2.6479768916166653,1,Weeli_Wolli_Formation
537961.432376185,7511789.608547455,635.0,202.24608110213296,0.7526318146348956,1,Weeli_Wolli_Formation
496699.545403685,7513103.22965329,591.0,179.99997865915245,30.914700838414202,1,Wittenoom_Formation
500466.710831415,7512233.25324031,604.0,197.70514448315757,12.834355126273678,1,Wittenoom_Formation
505541.28364992,7510700.05971102,562.0,192.3892578776689,14.38435639654844,1,Wittenoom_Formation
509234.8906510547,7509611.999935172,535.0,218.81893002603363,32.875158044762074,1,Wittenoom_Formation
515607.7298186662,7509787.446655817,557.0,195.35119019752324,37.69186415231687,1,Wittenoom_Formation
519922.855516935,7510700.49570857,597.0,172.69146134213432,8.229833222826784,1,Wittenoom_Formation
523048.0255426596,7511696.634111812,587.0,149.73617715173236,13.453126678604805,1,Wittenoom_Formation
524965.16076637,7513561.55955241,595.0,129.09415845677668,9.349467746804848,1,Wittenoom_Formation
551357.28803762,7515125.87519699,638.0,332.23932378099244,6.016370088969707,1,Wittenoom_Formation
548474.453867005,7514213.38411374,627.0,345.23011735402946,3.76039498944678,1,Wittenoom_Formation
546834.633663365,7512811.39553765,634.0,314.91220546212537,9.567960596807026,1,Wittenoom_Formation
546279.30867458,7511802.496099755,645.0,286.6875029972342,10.405562405787547,1,Wittenoom_Formation
545088.9850001449,7510298.651723335,658.0,327.0890662146914,9.207133540722708,1,Wittenoom_Formation
544004.56535198,7507442.39955051,622.0,299.93934101206014,5.982154211609527,1,Wittenoom_Formation
540870.42524634,7503924.650481485,596.0,326.7441604848649,14.088420513824243,1,Wittenoom_Formation
537207.300474855,7503144.389443845,594.0,5.964182526527338,6.052787221315782,1,Wittenoom_Formation
536400.59087293,7501438.624170605,552.0,327.2689941200585,3.3411238274821926,1,Wittenoom_Formation
533277.0052260368,7501092.040536597,548.0,5.653896303520185,17.049203917652918,1,Wittenoom_Formation
529412.2195452801,7501089.818816945,546.0,352.6566916088083,30.442366706283156,1,Wittenoom_Formation
552665.118585225,7515631.876654585,669.0,292.8105892855237,8.697026144566081,1,Marra_Mamba_Iron_Formation
551085.6336944799,7514482.115038515,656.0,347.69862102770804,4.869472285544418,1,Marra_Mamba_Iron_Formation
549041.035260135,7513812.380497025,644.0,341.2394394248513,2.7131158433058435,1,Marra_Mamba_Iron_Formation
547488.09007165,7512891.640436515,644.0,298.63272553478345,7.550917269298978,1,Marra_Mamba_Iron_Formation
546915.9039405249,7511745.000902525,684.0,295.6334666361376,8.901416693750363,1,Marra_Mamba_Iron_Formation
546635.290916825,7510767.13469111,710.0,306.3948205081225,8.398145730400074,1,Marra_Mamba_Iron_Formation
545312.050876535,7509345.395137595,752.0,292.95456127381163,7.146185308308276,1,Marra_Mamba_Iron_Formation
544579.6767696401,7507799.651197765,664.0,295.94398314152863,5.8774955087612275,1,Marra_Mamba_Iron_Formation
543576.64946143,7506178.900727445,614.0,292.93677085165,8.850460108915414,1,Marra_Mamba_Iron_Formation
541741.404247645,7504078.900228442,610.0,329.3353904560925,13.991011185206856,1,Marra_Mamba_Iron_Formation
539709.6700366649,7502769.40030633,579.0,330.86817282248643,13.797911905563312,1,Marra_Mamba_Iron_Formation
537484.2345968201,7502186.14398269,558.0,322.1155268371207,7.1878913207081325,1,Marra_Mamba_Iron_Formation
537151.78487281,7501157.135138335,547.0,308.7523880474298,5.792305180644532,1,Marra_Mamba_Iron_Formation
534794.12882174,7500848.364012442,571.0,5.378511063619668,7.5739055131307955,1,Marra_Mamba_Iron_Formation
533265.8225544489,7500698.42762168,580.0,32.76544392496237,17.063630110049203,1,Marra_Mamba_Iron_Formation
531362.5394642651,7500720.83522844,588.0,352.61886778359633,26.35062863564204,1,Marra_Mamba_Iron_Formation
529030.778694384,7500199.7410713425,583.0,337.19443332194186,30.14530338880725,1,Marra_Mamba_Iron_Formation
526129.528731525,7500220.775477345,546.0,0.9716825786949812,24.102637659448828,1,Marra_Mamba_Iron_Formation
531685.33584219,7508472.16879392,593.0,166.8738595169824,7.3345273864506595,1,Turee_Creek_Group
533074.21471681,7507881.66994208,590.0,281.3115576954904,5.904832336215832,1,Turee_Creek_Group
529727.5601100749,7505727.109569752,562.0,327.6060093554247,18.60901789891128,1,Turee_Creek_Group
522082.924057035,7504042.75078942,526.0,349.9319221488938,3.441980423080807,1,Turee_Creek_Group
517744.06124803505,7503274.69944447,512.0,348.954196996262,27.09240782674818,1,Turee_Creek_Group
517804.950338525,7506046.465407405,521.0,165.47728339372532,17.03289485410636,1,Turee_Creek_Group
525090.41783183,7507225.298093901,556.0,171.43362607822712,21.685683813989357,1,Turee_Creek_Group
514231.473899015,7502432.158193755,500.0,346.3953552190457,43.423411358404884,1,Turee_Creek_Group
508718.96466582,7501812.59514493,480.0,356.99428577493074,15.28608169475416,1,Turee_Creek_Group
504617.58836396,7501477.81076828,463.0,355.7047951443972,3.8863997637851497,1,Turee_Creek_Group
501785.17022684,7501315.274603205,457.0,339.792979398593,11.678279778401576,1,Turee_Creek_Group
499478.114597195,7499844.994958855,451.0,340.7334710018147,24.98938538717634,1,Turee_Creek_Group
497444.994771725,7499852.471045035,437.0,41.21384656018552,31.332272456748317,1,Turee_Creek_Group
497928.280334405,7504725.49033375,470.0,191.00403951802397,10.510676453705571,1,Turee_Creek_Group
502587.149616295,7504543.53942456,473.0,172.09435786967015,5.5181967927739075,1,Turee_Creek_Group
507805.259102585,7504523.344486405,495.0,176.92857101203856,12.39619386948894,1,Turee_Creek_Group
512221.38107826,7505630.14487453,501.0,176.5398116142676,40.08872345200825,1,Turee_Creek_Group
517714.4846666301,7506577.21389337,522.0,163.13889978258092,19.811008418186304,1,Boolgeeda_Iron_Formation
522434.244128335,7507396.524300565,544.0,165.6208570654004,23.72093173004632,1,Boolgeeda_Iron_Formation
527693.104430875,7508503.359989099,568.0,164.74758292278398,15.722728595565783,1,Boolgeeda_Iron_Formation
533013.0207986049,7509873.94971197,609.0,164.5712729626623,3.773493972496397,1,Boolgeeda_Iron_Formation
535784.47013544,7510219.19953061,629.0,180.00008053957092,0.3973310413003048,1,Boolgeeda_Iron_Formation
536292.003978565,7509183.678922785,617.0,324.4675462140111,0.7630967586912334,1,Boolgeeda_Iron_Formation
535175.2210458149,7507731.91964445,601.0,303.7163518828297,1.896343976354089,1,Boolgeeda_Iron_Formation
533855.46188589,7507071.910572263,589.0,333.41492570932263,5.230874207086644,1,Boolgeeda_Iron_Formation
531811.809526825,7505798.130325655,576.0,339.37267804597025,14.760484113810193,1,Boolgeeda_Iron_Formation
529650.96401136,7504786.606506855,564.0,333.4725930178928,22.203202384484268,1,Boolgeeda_Iron_Formation
525560.711581105,7504086.534897423,543.0,359.999285629725,15.980158152139412,1,Boolgeeda_Iron_Formation
520627.20974835,7503356.230127885,529.0,347.11936292331103,5.764849863759422,1,Boolgeeda_Iron_Formation
517366.65003013,7502715.898452395,522.0,345.95820373073235,29.804888159385833,1,Boolgeeda_Iron_Formation
513717.135013815,7508953.414238322,529.0,179.99885631592053,44.39956128077132,1,Mount_McRae_Shale_and_Mount_Sylvia_Formation
516592.935088205,7509198.199476965,566.0,163.5169425413917,30.39050510353073,1,Mount_McRae_Shale_and_Mount_Sylvia_Formation
512000.333954565,7499874.123790011,534.0,331.67247459834135,32.246413460048835,1,Weeli_Wolli_Formation
516438.91934135,7501810.434706155,522.0,358.40055327071855,35.286049920098534,1,Boolgeeda_Iron_Formation
514522.13439495,7501928.909200765,510.0,358.32120148420546,42.83288166836484,1,Boolgeeda_Iron_Formation
498997.392405915,7507889.5014120685,545.0,178.24049346444644,19.70118988714832,1,Weeli_Wolli_Formation
505285.400267105,7507335.063226805,578.0,187.04387076536625,9.292627000256317,1,Weeli_Wolli_Formation
508222.8731121022,7507196.708878622,595.0,178.05187974425087,21.95703144284921,1,Weeli_Wolli_Formation
511540.11509339,7507377.383465645,528.0,168.56856085025697,40.548196047980355,1,Weeli_Wolli_Formation
511456.565639755,7501866.128998555,532.0,331.72159440281484,34.13832100723689,1,Boolgeeda_Iron_Formation
509254.5553137828,7501233.689001332,496.0,355.0358376459404,17.10080663492053,1,Boolgeeda_Iron_Formation
504816.428952755,7501011.051775794,473.0,358.51492515736817,4.090348345550652,1,Boolgeeda_Iron_Formation
501994.93405143,7500784.27445199,469.0,341.3556295667823,12.853106757906929,1,Boolgeeda_Iron_Formation
500376.46535878,7498988.740926742,465.0,326.7658154226361,21.786732968081452,1,Boolgeeda_Iron_Formation
499189.334325815,7498153.234861875,522.0,322.5456082302143,26.755421514767452,1,Boolgeeda_Iron_Formation
498238.1337696179,7497954.701070492,480.0,229.4729714902934,29.559709664142154,1,Boolgeeda_Iron_Formation
495159.349041855,7497416.690327595,504.0,307.08182369298925,32.36130758348203,1,Boolgeeda_Iron_Formation
495314.015919615,7505337.465046825,505.0,183.26253513000032,31.53591444313126,1,Boolgeeda_Iron_Formation
498866.704263405,7505093.49521042,471.0,183.87181247589902,9.245183650170956,1,Boolgeeda_Iron_Formation
501894.67869074,7505097.03001132,491.0,180.28758009160182,5.596107703319434,1,Boolgeeda_Iron_Formation
505195.845418835,7505219.064275895,535.0,180.32508967877632,5.494123695596869,1,Boolgeeda_Iron_Formation
507596.335390775,7505183.840518415,512.0,171.2565869190089,12.451262332076213,1,Boolgeeda_Iron_Formation
509171.3052825931,7505763.904757798,526.0,156.40422792620086,23.698991149649785,1,Boolgeeda_Iron_Formation
511528.319164995,7506235.13009933,528.0,174.74695260908425,38.46487743679066,1,Boolgeeda_Iron_Formation
514041.964436085,7506590.66561446,521.0,167.1372527236733,42.25889197389166,1,Boolgeeda_Iron_Formation
511548.139512045,7500398.618590871,521.0,336.0607992156627,32.95615202542131,1,Woongarra_Rhyolite
506969.1465802,7499685.075986275,535.0,342.4770522335956,5.2759977825562165,1,Woongarra_Rhyolite
504608.17057165,7498682.789591735,511.0,341.68090044697044,6.307072992294523,1,Woongarra_Rhyolite
502842.63047871005,7497845.7606135635,493.0,333.67565235311145,12.301701421838686,1,Woongarra_Rhyolite
502231.8837072872,7496744.631955165,506.0,338.495038797942,14.759130882474182,1,Woongarra_Rhyolite
498845.2373217011,7496427.704722367,482.0,15.208368898290304,25.937586931258664,1,Woongarra_Rhyolite
496538.443894205,7495870.683409665,490.0,5.716632070238234,29.049749448973927,1,Woongarra_Rhyolite
515332.613616335,7507185.179138185,539.0,162.79378135444176,38.04125884338953,1,Woongarra_Rhyolite
517296.33400167,7507575.454590905,540.0,171.85290905478664,22.503317608452633,1,Woongarra_Rhyolite
520855.844893205,7508028.754124105,544.0,170.5188996030993,17.6528350204282,1,Woongarra_Rhyolite
524466.03080659,7508690.0555623,565.0,160.20392702383273,23.477253392698145,1,Woongarra_Rhyolite
528325.17577387,7509650.889596465,586.0,166.8670938166849,13.221968271623766,1,Woongarra_Rhyolite
532901.355341165,7511000.713998425,618.0,159.02676617218378,3.4396704009853067,1,Woongarra_Rhyolite
536891.100969055,7511224.205612609,639.0,190.70433679987158,0.5171402547233725,1,Woongarra_Rhyolite
539124.394298485,7509285.169715585,621.0,267.6115593932458,2.851808858439142,1,Woongarra_Rhyolite
537530.4556952,7507112.6700377865,603.0,315.00755109988813,4.6680768693249775,1,Woongarra_Rhyolite
534484.86869698,7505985.65340937,589.0,338.88409281443137,4.8700971005761735,1,Woongarra_Rhyolite
531317.340237985,7504280.114140387,588.0,338.3688810164481,20.697986647461452,1,Woongarra_Rhyolite
528152.6388177599,7503485.06983019,554.0,347.58809926465807,25.79478811530237,1,Woongarra_Rhyolite
524806.09508013,7503069.53058651,548.0,351.1628047428912,15.578259806060315,1,Woongarra_Rhyolite
519154.169395835,7502300.831862065,531.0,352.68548357812364,15.765119454500775,1,Woongarra_Rhyolite
516923.83415171,7501476.68394074,515.0,357.20064715997114,30.72698069919181,1,Woongarra_Rhyolite
515088.429842915,7501327.6652559815,535.0,347.11563798670716,40.36620597718043,1,Woongarra_Rhyolite
496529.528379775,7506238.724537215,490.0,189.5203845917749,27.62293202527018,1,Woongarra_Rhyolite
499245.12601655,7506365.510247265,509.0,159.4235882843426,12.884009209690944,1,Woongarra_Rhyolite
501794.0570523714,7506495.599930393,502.0,167.98428308490816,6.059885330113361,1,Woongarra_Rhyolite
504063.8197047151,7506546.049081803,537.0,185.60389851747857,5.385619551979673,1,Woongarra_Rhyolite
508662.51039248,7506721.594011455,542.0,177.04598016062278,24.66989469099518,1,Woongarra_Rhyolite
509895.350334515,7499204.354771085,564.0,351.8841604810212,19.57286327831143,1,Weeli_Wolli_Formation
507610.67531594,7498860.575661895,548.0,337.09002812098834,6.804430483119745,1,Weeli_Wolli_Formation
506410.600634225,7497915.560032645,529.0,352.09612314385305,4.435007147114079,1,Weeli_Wolli_Formation
513616.60898629,7512076.150850015,562.0,168.15196502822891,42.43233993546298,1,Jeerinah_Formation
516765.644344935,7512972.44013003,557.0,172.4378613297066,29.97723354893956,1,Jeerinah_Formation
547404.8798663251,7495525.919192267,551.0,149.78878323406929,6.189408378024907,1,Jeerinah_Formation
549184.64584168,7496006.183496175,538.0,165.86104189456637,1.9535567779893768,1,Jeerinah_Formation
551498.0432909951,7496452.24971026,562.0,171.3480387997673,16.5809555788706,1,Jeerinah_Formation
553520.2133499449,7497016.980055425,557.0,171.58514905291682,25.85772057092177,1,Jeerinah_Formation
519517.75523985,7500007.70920937,525.0,316.8130779205132,11.582531940366865,1,Mount_McRae_Shale_and_Mount_Sylvia_Formation
517669.91062289,7498600.186152483,526.0,324.79872349204993,17.480368854143318,1,Mount_McRae_Shale_and_Mount_Sylvia_Formation
519931.834325765,7499583.206071265,517.0,333.4336355717433,8.754571280932678,1,Wittenoom_Formation
517829.94979301,7497980.185686345,532.0,317.6399696260865,13.521787694308259,1,Wittenoom_Formation
519128.656438515,7514550.557689285,611.0,312.9742847891252,14.304178826921616,1,Jeerinah_Formation
547196.86720726,7509847.39038322,571.0,319.2612021027772,5.90075456832173,1,Jeerinah_Formation
546776.6107238049,7508408.3966918,580.0,278.4058400334052,5.423042904838057,1,Jeerinah_Formation
546222.635345025,7506937.892936135,566.0,322.7125305945445,6.9706524546496675,1,Jeerinah_Formation
545122.87134142,7505034.410607435,540.0,303.327235053726,11.498078483893494,1,Jeerinah_Formation
543555.256042425,7503041.40492044,547.0,313.91655305286497,16.468774427216545,1,Jeerinah_Formation
540651.6345203449,7500931.1400978835,547.0,337.2175917654092,16.14192656328241,1,Jeerinah_Formation
538629.75433365,7499701.13002922,503.0,319.80043996578513,11.543212865833752,1,Jeerinah_Formation
536582.47959845,7499129.865453267,503.0,347.5868071739358,3.6856384069789665,1,Jeerinah_Formation
534074.2086106839,7499028.317216309,507.0,6.162229663300708,12.539910966210925,1,Jeerinah_Formation
531408.960051105,7499404.585909787,520.0,359.99754425276467,25.49639279167218,1,Jeerinah_Formation
530142.0153361501,7499647.07046245,512.0,359.99971750868735,28.749881417785765,1,Jeerinah_Formation
528450.13406347,7499343.80142681,507.0,358.141931654507,28.72184831729361,1,Jeerinah_Formation
525399.8681901663,7499027.295671807,517.0,350.542748390738,20.288028109487893,1,Jeerinah_Formation
520886.62435595,7497655.700212943,498.0,349.0507470864348,1.955565000706485,1,Jeerinah_Formation
523295.8579474225,7498490.361545375,500.0,145.46125785021746,9.891824913189453,1,Jeerinah_Formation
555161.29608255,7514994.885499645,610.0,308.05856868911496,12.962212210295705,1,Jeerinah_Formation
552389.90009115,7513291.3817405,621.0,340.20291983448624,6.377529652712568,1,Jeerinah_Formation
550149.275320975,7512841.87018946,610.0,328.55486437359167,2.069409174738965,1,Jeerinah_Formation
548551.65940274,7511224.6330819735,596.0,301.4837159301067,4.228668539524052,1,Jeerinah_Formation
513423.09363034,7508573.14976222,592.0,172.13378681681797,44.54999283756597,1,Brockman_Iron_Formation
516716.18426334,7508897.199092075,566.0,158.22797277326356,30.06784316991898,1,Brockman_Iron_Formation
